order_id,order_date,order_time,customer_id,customer_name,region,city,salesperson,category,product_name,sku_id,quantity,unit_price,discount_pct,return_flag,payment_method,channel,revenue,gross_revenue,discount_amount
ORD-20260622-0021,2026-06-22,13:46:28,CUST0130,Raj Mishra,West,Mumbai,Sneha Iyer,Snacks,Haldirams Bhujia 400g,SNK-005,37,130,15,No,Card,Online,4088.5,4810,721.5
ORD-20260622-0150,2026-06-22,20:32:42,CUST0053,Usha Mehta,South,Hyderabad,Arjun Mehta,Beverages,Tropicana Orange 1L,BEV-001,57,95,0,No,Cash,In-Store,5415.0,5415,0.0
ORD-20260622-0228,2026-06-22,15:07:48,CUST0098,Ajay Joshi,South,Kochi,Divya Nair,Personal Care,Head & Shoulders 340ml,PC-002,6,290,0,No,UPI,Distributor,1740.0,1740,0.0
ORD-20260622-0241,2026-06-22,18:41:15,CUST0191,Priya Iyer,South,Bangalore,Sneha Iyer,Personal Care,Head & Shoulders 340ml,PC-002,15,290,15,No,UPI,Distributor,3697.5,4350,652.5
ORD-20260622-0185,2026-06-22,17:51:51,CUST0195,Shweta Patel,South,Bangalore,Pooja Verma,Beverages,Maaza Mango 600ml,BEV-002,11,40,0,No,UPI,Online,440.0,440,0.0
ORD-20260622-0455,2026-06-22,10:36:46,CUST0229,Rekha Das,West,Surat,Sneha Iyer,Beverages,Tropicana Orange 1L,BEV-001,25,95,5,No,Credit,Distributor,2256.25,2375,118.75
ORD-20260622-0164,2026-06-22,09:51:21,CUST0173,Suresh Iyer,South,Hyderabad,Vikram Singh,Snacks,Kurkure Masala 90g,SNK-002,55,30,0,No,Card,In-Store,1650.0,1650,0.0
ORD-20260622-0230,2026-06-22,16:30:59,CUST0198,Meena Rao,North,Lucknow,Rohan Das,Snacks,Haldirams Bhujia 400g,SNK-005,21,130,0,No,Card,Online,2730.0,2730,0.0
ORD-20260622-0334,2026-06-22,14:34:33,CUST0103,Priya Das,North,Chandigarh,Rohan Das,Snacks,Hide & Seek Cookies 150g,SNK-003,36,55,0,No,Cash,Distributor,1980.0,1980,0.0
ORD-20260622-0025,2026-06-22,20:45:52,CUST0089,Geeta Rao,East,Patna,Vikram Singh,Dairy,Amul Ice Cream 750ml,DAI-006,11,195,0,No,UPI,Online,2145.0,2145,0.0
ORD-20260622-0197,2026-06-22,18:05:59,CUST0164,Neha Iyer,North,Lucknow,Priya Sharma,Snacks,Hide & Seek Cookies 150g,SNK-003,100,55,5,No,Card,Distributor,5225.0,5500,275.0
ORD-20260622-0338,2026-06-22,13:45:41,CUST0151,Pooja Das,East,Kolkata,Arjun Mehta,Personal Care,Dettol Hand Wash 250ml,PC-005,12,95,0,No,Card,In-Store,1140.0,1140,0.0
ORD-20260622-0465,2026-06-22,09:09:30,CUST0159,Ravi Patel,South,Kochi,Anjali Rao,Household,Vim Dishwash Gel 500ml,HH-002,15,90,0,No,UPI,Distributor,1350.0,1350,0.0
ORD-20260622-0506,2026-06-22,16:31:01,CUST0193,Neha Nair,South,Hyderabad,Arjun Mehta,Dairy,Britannia Cheese Slice,DAI-005,29,115,0,No,UPI,In-Store,3335.0,3335,0.0
ORD-20260622-0361,2026-06-22,09:26:35,CUST0042,Sunil Joshi,South,Chennai,Priya Sharma,Dairy,Nestle Munch Milkshake,DAI-004,46,30,0,No,Credit,Distributor,1380.0,1380,0.0
ORD-20260622-0493,2026-06-22,19:28:29,CUST0026,Sunil Gupta,South,Kochi,Priya Sharma,Beverages,Maaza Mango 600ml,BEV-002,24,40,5,No,Cash,In-Store,912.0,960,48.0
ORD-20260622-0273,2026-06-22,19:08:06,CUST0139,Usha Das,South,Bangalore,Divya Nair,Snacks,Haldirams Bhujia 400g,SNK-005,37,130,0,No,UPI,Online,4810.0,4810,0.0
ORD-20260622-0061,2026-06-22,10:09:19,CUST0137,Kavya Nair,East,Guwahati,Sneha Iyer,Snacks,Good Day Biscuits 200g,SNK-004,39,45,0,No,Credit,Distributor,1755.0,1755,0.0
ORD-20260622-0451,2026-06-22,16:08:58,CUST0248,Usha Rao,South,Chennai,Pooja Verma,Dairy,Amul Butter 500g,DAI-002,48,260,15,No,Credit,Distributor,10608.0,12480,1872.0
ORD-20260622-0174,2026-06-22,18:37:51,CUST0223,Sanjay Nair,South,Bangalore,Vikram Singh,Personal Care,Gillette Mach3 Razor,PC-006,10,350,0,No,Cash,In-Store,3500.0,3500,0.0
ORD-20260622-0196,2026-06-22,17:00:10,CUST0039,Geeta Joshi,North,Chandigarh,Priya Sharma,Household,Scotch Brite Scrub Pad,HH-006,20,45,0,No,UPI,Online,900.0,900,0.0
ORD-20260622-0041,2026-06-22,18:49:31,CUST0247,Manoj Shah,South,Chennai,Vikram Singh,Personal Care,Colgate Toothpaste 200g,PC-003,16,110,15,No,UPI,Distributor,1496.0,1760,264.0
ORD-20260622-0237,2026-06-22,19:03:39,CUST0150,Rekha Singh,Central,Indore,Anjali Rao,Beverages,Maaza Mango 600ml,BEV-002,11,40,0,No,Card,In-Store,440.0,440,0.0
ORD-20260622-0089,2026-06-22,19:37:02,CUST0271,Geeta Reddy,South,Hyderabad,Rohan Das,Snacks,Kurkure Masala 90g,SNK-002,42,30,0,No,Card,In-Store,1260.0,1260,0.0
ORD-20260622-0404,2026-06-22,14:09:21,CUST0101,Ramesh Verma,West,Mumbai,Anjali Rao,Dairy,Britannia Cheese Slice,DAI-005,24,115,0,No,Cash,In-Store,2760.0,2760,0.0
ORD-20260622-0418,2026-06-22,17:39:45,CUST0024,Sanjay Singh,West,Surat,Nikhil Joshi,Snacks,Hide & Seek Cookies 150g,SNK-003,21,55,0,No,Credit,Distributor,1155.0,1155,0.0
ORD-20260622-0381,2026-06-22,12:56:12,CUST0078,Vikram Gupta,East,Patna,Vikram Singh,Snacks,Good Day Biscuits 200g,SNK-004,19,45,0,No,UPI,In-Store,855.0,855,0.0
ORD-20260622-0022,2026-06-22,16:28:10,CUST0146,Shweta Joshi,South,Bangalore,Arjun Mehta,Household,Harpic Toilet Cleaner,HH-004,18,140,15,No,Credit,Online,2142.0,2520,378.0
ORD-20260622-0032,2026-06-22,14:09:37,CUST0296,Geeta Joshi,East,Patna,Arjun Mehta,Beverages,Red Bull 250ml,BEV-003,7,125,0,No,Cash,In-Store,875.0,875,0.0
ORD-20260622-0497,2026-06-22,15:24:08,CUST0218,Ajay Mehta,East,Kolkata,Sneha Iyer,Household,Harpic Toilet Cleaner,HH-004,15,140,15,No,Card,Online,1785.0,2100,315.0
ORD-20260622-0194,2026-06-22,10:11:44,CUST0058,Rahul Verma,West,Ahmedabad,Priya Sharma,Household,Lizol Floor Cleaner 1L,HH-003,29,175,15,No,Cash,In-Store,4313.75,5075,761.25
ORD-20260622-0060,2026-06-22,16:57:12,CUST0021,Neha Mehta,East,Patna,Pooja Verma,Dairy,Amul Butter 500g,DAI-002,31,260,10,No,Cash,In-Store,7254.0,8060,806.0
ORD-20260622-0402,2026-06-22,11:04:43,CUST0299,Anita Sharma,Central,Bhopal,Anjali Rao,Beverages,Nescafe Classic 50g,BEV-005,21,210,0,No,Card,Online,4410.0,4410,0.0
ORD-20260622-0139,2026-06-22,18:14:02,CUST0068,Shweta Mehta,East,Kolkata,Rohan Das,Dairy,Britannia Cheese Slice,DAI-005,25,115,5,No,Card,In-Store,2731.25,2875,143.75
ORD-20260622-0226,2026-06-22,09:47:03,CUST0011,Ramesh Pillai,East,Patna,Divya Nair,Snacks,Maggi Noodles 70g,SNK-006,34,14,5,No,UPI,In-Store,452.2,476,23.80000000000001
ORD-20260622-0293,2026-06-22,16:06:49,CUST0203,Suresh Rao,Central,Indore,Arjun Mehta,Dairy,Mother Dairy Curd 400g,DAI-003,27,50,0,No,Cash,Online,1350.0,1350,0.0
ORD-20260622-0031,2026-06-22,20:17:03,CUST0186,Sunita Singh,Central,Bhopal,Arjun Mehta,Beverages,Glucon-D 500g,BEV-006,17,165,0,No,UPI,Online,2805.0,2805,0.0
ORD-20260622-0040,2026-06-22,16:35:53,CUST0272,Deepa Shah,West,Mumbai,Divya Nair,Dairy,Amul Ice Cream 750ml,DAI-006,13,195,0,No,UPI,Online,2535.0,2535,0.0
ORD-20260622-0093,2026-06-22,12:13:04,CUST0100,Amit Singh,East,Patna,Priya Sharma,Dairy,Nestle Munch Milkshake,DAI-004,28,30,0,No,Cash,In-Store,840.0,840,0.0
ORD-20260622-0491,2026-06-22,11:41:40,CUST0171,Unknown Customer,East,Kolkata,Anjali Rao,Personal Care,Gillette Mach3 Razor,PC-006,10,350,0,No,UPI,Online,3500.0,3500,0.0
ORD-20260622-0213,2026-06-22,13:02:52,CUST0005,Shweta Singh,South,Kochi,Karan Patel,Beverages,Tropicana Orange 1L,BEV-001,15,95,5,No,UPI,Online,1353.75,1425,71.25
ORD-20260622-0382,2026-06-22,14:28:12,CUST0148,Ajay Joshi,West,Pune,Pooja Verma,Household,Good Knight Refill,HH-005,30,75,15,No,Card,In-Store,1912.5,2250,337.5
ORD-20260622-0289,2026-06-22,11:58:32,CUST0217,Suresh Rao,North,Chandigarh,Pooja Verma,Beverages,Maaza Mango 600ml,BEV-002,31,40,15,No,Cash,In-Store,1054.0,1240,186.0
ORD-20260622-0336,2026-06-22,16:59:33,CUST0246,Ravi Nair,South,Bangalore,Vikram Singh,Personal Care,Dettol Hand Wash 250ml,PC-005,15,95,10,No,UPI,In-Store,1282.5,1425,142.5
ORD-20260622-0253,2026-06-22,19:26:15,CUST0124,Rahul Reddy,North,Delhi,Priya Sharma,Snacks,Kurkure Masala 90g,SNK-002,52,30,5,No,UPI,Distributor,1482.0,1560,78.0
ORD-20260622-0111,2026-06-22,20:14:30,CUST0083,Kavya Joshi,North,Delhi,Arjun Mehta,Dairy,Amul Butter 500g,DAI-002,24,260,15,No,UPI,Online,5304.0,6240,936.0
ORD-20260622-0112,2026-06-22,10:34:36,CUST0287,Pooja Das,East,Patna,Pooja Verma,Beverages,Maaza Mango 600ml,BEV-002,31,40,0,No,UPI,In-Store,1240.0,1240,0.0
ORD-20260622-0367,2026-06-22,11:45:18,CUST0058,Rahul Verma,West,Ahmedabad,Arjun Mehta,Snacks,Good Day Biscuits 200g,SNK-004,87,45,5,No,Credit,Distributor,3719.25,3915,195.75
